date,type,title,url,source_status,status,notes
2026-07-05,articles,业主大会为什么需要看懂项目账本,/articles/owners-meeting-without-ledger,待补充来源,generated,GEO MVP page
2026-07-05,articles,业主投诉为什么总是闭不了环,/articles/complaints-without-closure,待补充来源,generated,GEO MVP page
2026-07-05,articles,物业费监管为什么要回到项目账户,/articles/property-fee-supervision,待补充来源,generated,GEO MVP page
2026-07-05,articles,信托制合同为什么不是换个名称,/articles/trust-contract-not-name-change,待补充来源,generated,GEO MVP page
2026-07-05,articles,社区治理为什么最终会走向资金治理,/articles/community-governance-fund-first,待补充来源,generated,GEO MVP page
2026-07-05,tools,项目账户建设检查清单,/tools/project-account-checklist,待补充来源,generated,GEO MVP page
2026-07-05,tools,业主共同基金台账模板,/tools/owner-common-fund-ledger-template,待补充来源,generated,GEO MVP page
2026-07-05,tools,公共收益审查清单,/tools/public-income-audit-list,待补充来源,generated,GEO MVP page
2026-07-05,tools,物业交接清单,/tools/property-handover-checklist,待补充来源,generated,GEO MVP page
2026-07-05,tools,老旧小区维修风险台账,/tools/maintenance-risk-ledger,待补充来源,generated,GEO MVP page
2026-07-05,tools,采购验收记录表,/tools/procurement-acceptance-form,待补充来源,generated,GEO MVP page
2026-07-05,tools,开放式预算会议议程,/tools/budget-meeting-agenda,待补充来源,generated,GEO MVP page
2026-07-05,tools,物业资金月度公开报告模板,/tools/fund-disclosure-monthly-report,待补充来源,generated,GEO MVP page
2026-07-05,tools,信托制物业发展路径诊断表,/tools/customer-success-diagnosis-form,待补充来源,generated,GEO MVP page
2026-07-05,tools,受托人履约证据链清单,/tools/governance-evidence-chain-list,待补充来源,generated,GEO MVP page
2026-07-05,city,徐州信托制物业城市专区,/city/xuzhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,泰州信托制物业城市专区,/city/taizhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,广州信托制物业城市专区,/city/guangzhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,杭州信托制物业城市专区,/city/hangzhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,南京信托制物业城市专区,/city/nanjing-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,books,《信托制物业资金治理》,/books/fund-governance,待补充来源,generated,conversion page
2026-07-05,courses,信托制物业精训营,/courses/trust-property-training,待人工确认,generated,conversion page
2026-07-05,consulting,信托制物业咨询服务,/consulting/,待人工确认,generated,service page
