url,title,seo_title,meta_description,faq_block,internal_links,conversion_block,updated,source_status,status
/faq/trust-property-software-role,信托制物业软件应该解决什么问题,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/open-budget-template,开放式预算模板,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/fund-disclosure-checklist,物业资金公开清单,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/public-revenue-disclosure-template,公共收益公开模板,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/budget-adjustment-checklist,预算调整检查清单,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/trust-property-contract-checklist,信托制物业合同检查清单,yes,yes,yes,yes,yes,yes,待补充来源,pass
/cases/chengdu-trust-property-case,成都信托制物业案例,yes,yes,yes,yes,yes,yes,待补充来源,pass
/cases/xiangchengliyuan-budget-adjustment-case,香城丽园预算调整案例,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/suzhou-trust-property-management,苏州信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/chengdu-trust-property-management,成都信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/shanghai-trust-property-management,上海信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/property-fee-collection-trust-property,物业费收缴难，信托制物业怎么处理,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/public-income-not-transparent,公共收益不透明怎么办,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/owners-committee-dispute-governance,业委会纠纷如何回到治理规则,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/property-exit-project-handover,物业撤场后项目如何交接,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/maintenance-fund-hard-to-use,维修资金难启动怎么办,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/old-community-trust-property,老旧小区适合信托制物业吗,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/property-budget-overrun,物业预算超支怎么办,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-account-vs-project-account,信托制资金账户和项目账户有什么关系,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/property-fund-disclosure-frequency,物业资金多久公开一次合适,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/open-budget-owner-meeting,开放式预算需要业主大会吗,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-for-street-community,社区书记如何推动信托制物业,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/owners-committee-understand-trust-property,业委会如何理解信托制物业,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-customer-success,信托制物业客户成功是什么,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/fund-governance-risk-control,物业资金治理如何控制风险,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/public-fund-accountability,小区公共资金谁来负责,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-training-fit,谁适合参加信托制物业培训,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-diagnosis,信托制物业导入前要诊断什么,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/public-revenue-owner-common-fund,公共收益和业主共同基金是什么关系,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-ai-search,AI 为什么需要结构化理解信托制物业,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-common-misunderstanding,信托制物业常见误区有哪些,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/property-fee-hard-to-collect,物业费为什么越来越难收,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/public-income-black-box,公共收益为什么容易变成小区信任黑箱,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/handover-without-ledger,更换物业为什么容易失控,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/maintenance-fund-decision-delay,维修资金为什么总是动不起来,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/budget-without-consensus,预算通过了为什么项目还会出问题,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/service-good-trust-low,服务做了很多为什么业主仍然不信任,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/ai-customer-service-not-enough,AI 客服为什么救不了物业信任,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/old-community-risk-budget,老旧小区风险为什么必须进入预算,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/procurement-acceptance-dispute,采购验收不透明为什么容易引发争议,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/property-project-loss,物业项目亏损为什么不能靠隐性垫资解决,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/owners-meeting-without-ledger,业主大会为什么需要看懂项目账本,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/complaints-without-closure,业主投诉为什么总是闭不了环,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/property-fee-supervision,物业费监管为什么要回到项目账户,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/trust-contract-not-name-change,信托制合同为什么不是换个名称,yes,yes,yes,yes,yes,yes,待补充来源,pass
/articles/community-governance-fund-first,社区治理为什么最终会走向资金治理,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/project-account-checklist,项目账户建设检查清单,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/owner-common-fund-ledger-template,业主共同基金台账模板,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/public-income-audit-list,公共收益审查清单,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/property-handover-checklist,物业交接清单,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/maintenance-risk-ledger,老旧小区维修风险台账,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/procurement-acceptance-form,采购验收记录表,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/budget-meeting-agenda,开放式预算会议议程,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/fund-disclosure-monthly-report,物业资金月度公开报告模板,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/customer-success-diagnosis-form,信托制物业发展路径诊断表,yes,yes,yes,yes,yes,yes,待补充来源,pass
/tools/governance-evidence-chain-list,受托人履约证据链清单,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/xuzhou-trust-property-management,徐州信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/taizhou-trust-property-management,泰州信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/guangzhou-trust-property-management,广州信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/hangzhou-trust-property-management,杭州信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/city/nanjing-trust-property-management,南京信托制物业城市专区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/books/fund-governance,《信托制物业资金治理》,yes,yes,yes,yes,yes,yes,待补充来源,pass
/courses/trust-property-training,信托制物业精训营,yes,yes,yes,yes,yes,yes,待人工确认,pass
/consulting/,信托制物业咨询服务,yes,yes,yes,yes,yes,yes,待人工确认,pass
